reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
78da4439-5320-4b90-a67d-df1e24c3312c,Esra Aslan,https://play-lh.googleusercontent.com/a-/ALV-UjUHW_wkq75jngv7CV7uCWsdbOtpqNvmtrWEBQaY82R4BCmPASg,Harika bence ama tek sıkıntı qynı dersi 10 kez yapıyorsun bu kadar,5,0,13.2.0.463origin/split-app-force-update-final,2022-09-05 00:12:44,,,13.2.0.463origin/split-app-force-update-final
7b226acc-86d8-46b7-9830-b4430e1d987e,RAM KRISHNAN,https://play-lh.googleusercontent.com/a-/ALV-UjV_nhHtgjq8-t2MwBrBL2B51aT2f5irUaZNV9vx9bJ0fYomi-SM0Q,Kindly launch a busuu app separately for IELTS.,5,0,24.1.0.460,2022-08-08 18:55:52,,,24.1.0.460
7859d0b8-0bcf-46f6-8f15-ba0043ee66dc,Vasif Vəlizade,https://play-lh.googleusercontent.com/a/ACg8ocLysSbaggrRSC0lFAe315S8ZCnNrCUqodq7o7kjTVCuf4Pj9A=mo,Çok iyi amma a2 geldim 5 çı dersten geçemiyorum çünkü premunium istiyor.,5,0,24.1.0.460,2022-08-06 10:00:00,,,24.1.0.460
17c1a653-8ac0-4963-8b67-9d6522873384,Hande Vatansever,https://play-lh.googleusercontent.com/a/ACg8ocLo7S6D8NVJonZQJniG-TPfqDDKow0X-DqPCB3iN9C6IyIltA=mo,Premiumlar için olan sınavda kaldım onu bitirmeden diğer bölüme geçemiyorum onun için de premium olmam lazım sınavı yapmadan bir sonraki bölüme geçmek için de premium olmam lazım yani her türlü premium olmam lazım para vermeden hiçbir şey öğrenilmiyor premium olmak istemiyorum para vermeden öğrenmek istiyorum,1,5,24.1.0.460,2022-08-03 00:49:52,"Merhaba Hande,

Yaşadığınız mağduriyet için özür dileriz ancak Premium aboneliğimiz size harika içerikler ve kaliteli özellikler sunacaktır.

Eğer herhangi bir sorunuz varsa lütfen team@busuu.com adresinden ekibimizle irtibata geçiniz.

Çok teşekkürler.

Busuu Ekibi",2022-08-03 00:40:55,24.1.0.460
1053f711-9a8b-43af-bfd5-b86319eb691e,valdomiro andrade,https://play-lh.googleusercontent.com/a/ACg8ocJ5-EJ51ZeZUjlaADjHhaV8-YaQTmOLtZWxI6m1gKKfvzy39A=mo,"Muito lento pra abrir, mesmo na versão paga.",1,0,24.1.0.460,2022-07-27 04:08:20,,,24.1.0.460
5b3a1f29-ea05-419f-b0d6-98da72dfdac5,Wassim Sebbani,https://play-lh.googleusercontent.com/a/ACg8ocKAI04v-BkAFM0_ttUhG-KcXZNV7yuzBuQBd9wBGZWv00Yt0w=mo,Really it's helpfull ❤🌚,5,0,,2022-07-26 02:18:00,,,
25c47822-41f3-4e1e-95d7-c1b733d48433,Anastasiia Proskurina,https://play-lh.googleusercontent.com/a/ACg8ocJtWkaoYMAZ-ROPL82FseiRTbcUM1Cx5EtCzUEAqJrAWv6ZcA=mo,"All in this app is perfectly. But I have a problem. Dear developers, how can I connect free premium for 3 months? I'm ukrainian. And I heard that we have that privilege. Please, help me. I really need it now. Thank you!",3,5,24.1.0.460,2022-07-24 16:07:35,,,24.1.0.460
c076e76f-d040-4219-b630-1bbd6b04a6e8,fatima bint,https://play-lh.googleusercontent.com/a/ACg8ocJGF9SqqYiSj7gM3uK_-QMV4ywNuckGfxT90I0XVzZU2W9bCg=mo,"As someone who cant pay for the lessons ,this app is awesome.please its been two days that i cant access any lesson from A2 lesson 5",5,2,24.1.0.460,2022-07-22 01:49:35,,,24.1.0.460
cbb67e0b-6a5a-4038-8551-38e35eba3ac2,Md Shahanawaz,https://play-lh.googleusercontent.com/a/ACg8ocKBrdjdRtxjQsdeOIBtFPC2uH3mvH8DFiNoyckTNvqYSr1uCUo=mo,"Why I'm not able take premium, it shows unable to pay. (India)",1,9,24.1.0.460,2022-07-20 10:30:52,"Hi there!

This is quite unusual!

If you haven't already, can you please make sure you get in touch with us at team@busuu.com so we can look into this for you.

Many thanks,

Busuu Team",2022-08-03 00:47:18,24.1.0.460
caa10dd8-90eb-4c51-82b0-bf38ff32e81a,عباس الجابر,https://play-lh.googleusercontent.com/a/ACg8ocJUyiLFQhtFnKv2oNJaUKNIt0antU7sX9-XDDuBg5QTfBniWw=mo,أتمنى اضافة اللغة الهولندية,3,0,,2022-07-13 01:06:17,"مرحبًا،

شكرا جزيلا على رأيك!

نحيطكم علمًا بأننا نقدم بالفعل دورة اللغة الهولندية لكي تتمكن من اختيار هذه الدورة ، من الضروري تغيير لغة الواجهة الخاصة بك إلى اللغة الإنجليزية.

من فضلك ، إذا كان لديك أي استفسار آخر ، فلا تتردد في الاتصال بنا على team@busuu.com

إنه لمن دواعي سروري أن أساعد! طاب يومك!

فريق Busuu ،",2022-07-14 16:27:43,
